idx,algo,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword
0,multipartiterank,june,drought,emergency haying,lyng,usda,grazing,department,haying,agriculture department,acreage conservation reserve,crp,counties,usda drought task force,acr,actions,time,usda press release,reporter,march,new interagency drought policy committee
0,label,agriculture department,drought-related actions,action list,drought aid,meat purchases,usda drought task force,drought panel,conservation reserve program,congressional drought relief task force,emergency relief measures,,,,,,,,,,
1,multipartiterank,abu,nidal group,rafiq al,frc,assassination,investigation,beirut,jordan,zayn report,information,jordanian fundamentalist extremist groups,organization,iran,lebanon,country,officials,imyo,lebanese security authorities,rawdah camps,coordination
1,label,ayitah assassination,jordanian authorities,lebanese security authorities,abu-nidal group,jordanian fundamentalist extremist groups,jordanian diplomat na'ib al- ma'ayitah,investigative report,imyo,international terrorism,,,,,,,,,,,
2,multipartiterank,human beings,bse,british beef imports,new research project,humans,cattle,disease,european union ban,country,german universities,initiative,launch,bovine spongiform encephalopathy,tonnes,germany,mad cow disease,cases,britain,conclusive evidence,german government yesterday
2,label,cattle disease,bovine spongiform encephalopathy,bse,mad cow disease,british beef imports,possible connections,,,,,,,,,,,,,,
3,multipartiterank,illegal aliens,states,census,house seats,amendment,large numbers,apportionment,person,constitution,senate,new immigration bill,shelby,congressional reapportionment,supreme court,illegal residents,secretary,process,question,opponents,government
3,label,illegal aliens,1990 census,house seats,illegal residents,national head count,census bureau,congressional reapportionment,,,,,,,,,,,,,
4,multipartiterank,thomas,home,handwritten sign,hometown crowd,judge clarence thomas,anita hill,abraham famble,god bad,birthplace,main thoroughfare,deacon,pinpoint georgia,sweet fields,heart,attempt,allegation,joy,eden baptist church,cry,mother
4,label,clarence thomas,hometown crowd,birthplace,senate vote,georgia,williams,,,,,,,,,,,,,,
5,multipartiterank,guns,many rights,right,constitution,second amendment,congress,national guard,control,point,total regulations,private uses,letter writer,central issue,kind,american citizens,nothing,staggers bills,selective service,dog,persons
5,label,gun control,second amendment,gun ownership,national guard,gun-control legislation,american citizens,undeniable right,,,,,,,,,,,,,
6,multipartiterank,lebanon,french government,france,terrorist bomb,officials,wednesday,criminal attack,washington,planes,uta,altitude explosion,people,chad,french dc-10 jetliner,christian,sheik abdel karim obeid,paris,bruce hoffman,recent actions,flight
6,label,french dc-10 jetliner,powerful high-altitude explosion,terrorist bomb,niger,lebanon crisis,rescue mission,terrorist attack,crash site,,,,,,,,,,,,
7,multipartiterank,slovenia,slovenes,yugoslavia,people,country,nations,exchange,independence,western europe,picturesque alpine republic,rest,considerable trade,austria,europe,declaration,week nightmare,balkans,alps,tenuous peace,economist
7,label,slovenia bonds,yugoslavia,independence declarations,european community,industrial output,post-independence plans,national identity,slovene risk,,,,,,,,,,,,
8,multipartiterank,plane,crippled united airlines dc-10,violent crash,runway,half,crash,passengers,mile short,tail engine,oldest airliners,survivors,sioux city,independent hydraulic systems,wednesday,bodied dc-10,emergency landing wednesday afternoon,united flight,crew members,wings,chicago
8,label,united airlines dc-10,emergency landing,violent crash,complete hydraulic failure,explosion,crash landing,flight crew,crash victims,air crash,tail engine,,,,,,,,,,
9,multipartiterank,stringent side agreements,key hispanic groups,nafta,hispanic backing,support,several hispanic leaders,worker rights,environment,mexico,last week,competitive sectors,canada,north american trade agreement,agreement,sides,trade,southwest voter registration project,leaders,condition,labour force
9,label,north american trade agreement,stringent side agreements,worker rights,hispanic community,negative impact,trilateral north american development bank,nafta,key hispanic groups,,,,,,,,,,,,
10,multipartiterank,second amendment states,gun control laws,free state,right,second amendment,states,federal government,merits,arms,individuals,people,security,necessary,words,regulated militia,argument,national,powers,law,cruikshank
10,label,gun control laws,second amendment,federal government,constitutional law,security,arms,,,,,,,,,,,,,,
11,multipartiterank,several hurricane forecasters,satellites,hurricane tracking,forecasters,computer models,hugo,supercomputers,hurricane,national hurricane center,time,information,meteorological conditions,path,south carolina coast,expertise,landfall,storm,people plenty,forecasting changes,destructive path hurricane hugo
11,label,hurricane hugo,hurricane hugo,destructive path,supercomputer predictions,satellite data,satellite pictures,hurricane forecasters,real forecasting problem,forecasting ability,south carolina coast,landfall,,,,,,,,,
12,multipartiterank,tunnel,french workers,british terminal,big,london,hour,europe,toys,men,england,new concept,week,froggy,feet wide,dewy grass,trains,poppies,ledge,white cliffs,project
