idx,algo,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,keyword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,multipartiterank,myleene klass,newborn hero,world,picture,former pop star,newborn daughter,many,tender family,internet,last friday,ms klass,tv presenter,birth,week,twitter followers,model,baby hero harper quinn yesterday,old ava bailey,social network site twitter,ms klasss fiance graham quinn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,label,kind msgs,myleene klass introduces,newborn daughter,myleene klass shows,congratulations,captioned the photo,newborn hero,new arrival yesterday,completely plastered,social network site twitter,twitter followers informed,posting this picture on the internet,model,too cute,show off baby,harper quinn yesterday,responded,before putting a picture,former pop,birth,wrote,guys,msgs,friday weighing,wishes,klasss fiance graham quinn,eldest daughter,daughter,myleene klass,today dads,baby,comments,last month,family,photographer,plaster,yesterday,picture,internet,twitter,completely,hero,photo world meet hero,pregnant tummy,tv presenter,social network,pregnancy,myleene klass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,multipartiterank,carr,wild animals,irwin,disabled kangaroo,therapy pet,animal,broken arrow,cbs,council,city ordinance,kotv,mobility,exotic,kangaroo,therapist,crimesider,25-pound great red kangaroo,pounds,day,health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,label,causing,anne,pounds,brought,advice,keep,therapy,named,kangaroo,expected,council,volunteering,cbsapkotv,crimesider,volunteered,trying,mobility,neutering,cares,healthy,okla,consideration,wants,arrow,issue,disabilities,woman wants,developed,casebycase basis,council supporting,seat,lessened,fracturing,delayed,dressed,living,banning,disabled kangaroo,exception,precedent,veterinarian,exotic,child,caretaker,unusual,attention,animal,accompanying,nursing,depression,committee,exemption,council,assistance,rarely,aggressive,research,interview,worries,request,damage,affiliate,christie,therapist,attorney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,multipartiterank,penelope cruz,vanessa hudgens,penelope,lace,karolina kurkova,week,common theme,violet,outfit,april,fame,johnny depp,hollywood walk,pirates,length hem,statement earrings,christian louboutin peep,caribbean,knee,stranger tides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,label,received,sleeves,showed,earrings,week between penelope,common,lace penelope cruz,hudgens,caribbean,pirates,covered,postpregnancy figure,tides actress,christian louboutin peeptoes completed,kneelength,l'wren scott,penelope,charming,outfit,joined johnny,karolina,hollywood,violet,hem,completed,theme,kurkova,sleeves,lace,vanessa,fame,postpregnancy,l'wren,tides,fitted,april,cruz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,multipartiterank,tuxedos,fashions,report,canine couture,dress,morning,bridesmaid gowns,everything,dogs,pink heart,details,latest trend,pets,today,traditional tuxedo,ready,bowtie collar,doggie design,videos,photos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,label,fashion's,dogs,fashions,weddings,pets,features,report,doggie design,marriage ceremonies,peanut,videos,fashion industry,fourlegged,trixie,owners,fourlegged friend,formal wear,report pink heart bridesmaid dress traditional,dressed,bridesmaid,photos,america,tuxedos,send,click,canine,dress,saw,fashion,have you,bowtie collar,details,tuxedo,members,morning,including,latest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,multipartiterank,true colors,bathing mobile,phones,company,users,buggy app,color,new light editor,backlash,photo,color labs,note,digital media,guest author semil shah,world christopher nolan,facebook,technology,social networks,many people,sharing service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,label,purchases,companies,furor,perceive,crashes,running,slightly,feeling,wallet,impression,promise,leverage,folks,source,concert,record,obtain,operating,pictures,augmentation,mobility,based,payments system,believers,credit,clamoring,company,triangulation,christopher nolan,color labs,amex,guest author semil shah,twitter semilshah color labs,harmonize,digital media,silicon valley,photosharing,mining metadata,data mining company,photosharing service,quora,chatroulette,internet,bathing mobile,floppy launch interface crashes,fred wilson,vision risktaking,feeling creepy,photosharing service color labs,palo alto,technology,social networks,facebook's,quora's rise,perfect,entirely new light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,multipartiterank,calorie counts,menus washington,fda,chain restaurants,menus,information,calories,food,grocery stores,movie theater,part,menu labeling requirements,new law,country,consumers,home,item,customers,drug administration,guilty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,label,locations,feeling,consumption,general nutrition,convenience,information,hamburger,national restaurant,labeling requirements proposed,indulge,postings,vending,association,feeling guilty,material,provide,confusing,bathroom,consumed,packaged,proposes calorie counts,immediately available,establishments,airplanes bowling,country,restaurants,general,bakeries grocery stores convenience,package,consumers,restaurant industry,reserved,coffee chains,nutrition,administration,cheeseburger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,multipartiterank,heinrich,democrats,seat,senate,new mexico,republican nomination,race,top,tier recruit,chances,message,supporters,competitive open seat race,competitive albuquerque,second term,republican takeover,much serious thought,house district,length,excited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
