,Keyword:0,Keyword:1,Keyword:2,Keyword:3,Keyword:4,Keyword:5,Keyword:6,Keyword:7,Keyword:8,Keyword:9,Keyword:10,Keyword:11,Keyword:12,Keyword:13,Keyword:14,Keyword:15,Keyword:16,Keyword:17,Keyword:18,Keyword:19
0,merken mensen,hogere inkomens,gaat,doe,mensen,psychologische effect,inkomens,bedrijven,merken,effect,negen jaar,grote bedrijven,grote,negen,foutje,middenklasse,hogere,keer,gaan,dividendbelasting
1,kom,elkaar,vrede,dagelijkse dingetjes,gaan,mensen,bestaan,betekenis,heel,wijwater,munsterkerk,tijd,eigenlijk,zegt,god,dingetjes,augustinus,dagelijkse,heel erg,opgetild
2,klimaatwet gaan uitvoeren,miljard euro,kost het minimaal,gaan uitvoeren,klimaatwet gaan,miljard,euro,minimaal,uitvoeren,kost,klimaatwet,gaan,,,,,,,,
3,sri lanka,mensen,turken,sri,nederland,terroristen sri lanka,gaat,nos journaal,hotel,npo,turk,bodycams,vier,terroristen,sri lanka discussiert,nieuwe,zien,lanka,armeense,npo ondertiteling
4,sri lanka,terroristen sri lanka,mensen,sri,sri lanka discussiert,nos journaal,gaat,npo ondertiteling,npo,nederland,turken,hotel,cinnamon grand hotel,sri lankaanse,lanka,armeense,turk,bodycams,vier,terroristen
5,heel,mooi,natuur,kasteel,farinata,jaar,staatsbosbeheer,maken,heel mooi,mensen,soep,straks,beetje,zien,goed,mee,twee,nou,gaan,vind
6,mooi,soep,farinata,nou,pan,mosselen,maken,bakken,oven,heel,lekker,twee,gaat,straks,heel mooi,eventjes,kijk nou,goed,beetje,bouillon
7,ajax,npo,npo ondertiteling,winnen,champions league,johan cruijff arena,ajax komt vandaag,ajax komt,laatste,ondertiteling,scherpen,psv,kjell scherpen,janssen,vincent janssen,goed,nou,keeper kjell scherpen,vincent janssen viel,wedstrijd
8,the who,heel,veda,the,keith moon,maakt the who,gaat,jaar,who,heel erg,nee,the who begonnen,the who spelen,band the who,mensen,geld,echt,heel duidelijk,eigenlijk,dag
9,mevrouw timmer,mevrouw michels,mevrouw,meneer van doesum,timmer,mevrouw michels gaat,mevrouw timmer zit,goed,mevrouw michels zit,mevrouw michels zeggen,michels,doesum,meneer,gaat,hoeveel,zag mevrouw michels,ronde,mee,vraag,hoeveel mevrouw
10,nederland,steven anderson goed,steven anderson,gaat,gaan,vond steven anderson,schade,jinping,anderson,mensen,amerikaan steven anderson,turken,haag,app,krijgen,komt,sri lanka,anderson goed,buien,willen
11,jaar,gladio,fioravanti,mambro,terreur,leden,onderzoeksrechter felice casson,gewapende revolutionaire kern,explosieven,valerio fioravanti,elkaar,nar,bologna,extreem-rechtse,fascisten,italie,communisten,jaren,npo ondertiteling,veiligheidsdiensten
12,nee,heel,nou,euro,heel mooi,vind,goed,dank,mooi,heel leuk,heel mooi geschilderd,ilse,denk,kamer,leuk,fijn,gaan,heel goed,heel goed gedaan.,gaat
13,bauhaus,mart stam,nederland bauhaus,doesburg,npo ondertiteling,boijmans van beuningen,nederlandse,museum,bauhaus genoemd,mart,stam,bauhausler,mart stam trouwde,stijl,nederland,theo van doesburg,studenten,museum boijmans,vond het bauhaus,bijzondere
14,hendrik otten,henk otten,hendrik otten zegt,otten,henk otten gaat,hendrik otten zit,zegt hendrik otten,otten zegt,henk otten gevraagd,medeoprichter henk otten,baudet,henk otten besproken,mensen,waarschuwt hendrik otten,steven anderson,hendrik,gezegd,henk,gaan,komen
15,biomassa,henk otten,nederland,steven anderson,anderson,jaar,willen,henk otten gaat,gaan,steven anderson goed,otten,gaat,komt,koningsdag,nou,kamer,duurzaam,goed,henk,tweede
16,china,chinese,nederland,mensen,gaan,otten,seawatch,baudet,middellandse zee,chinese aio,chinese onderzoekers,henk otten,zee,europese,chinese overheid,schip,gaat,kabinet,jaar,jeroen de vries
17,sliedrecht,china,muur van hoei,sneek,sliedrecht won,keer,maakt china,hoei,breggen,sliedrecht zit,sliedrecht stevent,nac,muur,annemiek van vleuten,vleuten en anna,wint,waalse pijl,set,amstel gold,china niet links
